assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,season,hat_tricks,fantasy_points,target,season_start_year,height,weight,age,rookie_year,overall_pick
5,1,6,,0,51,1,Vlasic,0,8,8471709,-8,6,0.11764,D,0,0,20202021,0,0,0.02702,L,37,Marc-Edouard Vlasic,SJS,1050.6862,20202021,0,13,31.0,2020,185.0,93.0,33.0,0.0,35.0
5,4,7,0.28571,0,29,5,Neal,0,11,8471707,-2,10,0.34482,L,1,3,20202021,0,0,0.09803,L,51,James Neal,EDM,726.2413,20202021,0,15,6.0,2020,191.0,96.0,33.0,0.0,33.0
6,4,10,0.26666,0,54,5,Cogliano,0,24,8471699,-8,11,0.2037,C,0,0,20202021,1,1,0.05681,L,88,Andrew Cogliano,DAL,835.574,20202021,0,16,20.0,2020,178.0,81.0,33.0,0.0,25.0
21,9,26,0.47931,1,53,22,Oshie,0,18,8471698,-3,43,0.81132,R,13,17,20202021,0,0,0.20754,R,106,T.J. Oshie,WSH,1083.8301,20202021,1,68,39.0,2020,183.0,85.0,34.0,0.0,24.0
7,3,10,,0,56,3,Staal,0,20,8471686,-5,10,0.17857,D,0,0,20202021,0,0,0.0566,L,53,Marc Staal,DET,1104.5714,20202021,0,23,35.0,2020,193.0,94.0,33.0,0.0,12.0
37,10,27,0.57279,4,56,13,Kopitar,0,10,8471685,-7,50,0.89285,C,3,23,20202021,0,0,0.11016,L,118,Anze Kopitar,LAK,1270.9642,20202021,0,63,89.0,2020,191.0,102.0,33.0,0.0,11.0
0,1,1,,0,13,1,Johnson,0,8,8471677,-5,1,0.07692,D,0,0,20202021,0,0,0.07692,L,13,Jack Johnson,NYR,1018.0,20202021,0,3,19.0,2020,188.0,102.0,33.0,0.0,3.0
38,18,39,0.53565,5,55,24,Crosby,2,26,8471675,8,62,1.12727,C,5,22,20202021,1,1,0.15094,L,159,Sidney Crosby,PIT,1223.8909,20202021,0,86,118.0,2020,180.0,91.0,33.0,0.0,1.0
28,16,37,0.43428,1,55,17,Barzal,0,48,8478445,15,45,0.81818,C,1,8,20202021,0,0,0.12686,R,134,Mathew Barzal,NYI,1123.4,20202021,1,65,74.0,2020,185.0,84.0,23.0,0.0,16.0
26,14,34,0.36363,1,56,23,Boeser,0,16,8478444,-3,49,0.875,R,8,14,20202021,1,1,0.16312,R,141,Brock Boeser,VAN,1159.1785,20202021,0,72,69.0,2020,185.0,94.0,23.0,0.0,23.0
